地段位置或門牌,社區簡稱,交易日期,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註,路段
虎尾鎮光復路１０６之３號,,112/04/28,1080,14.13,76.43,,透天厝,38,全/四層,房地(土地+建物),土:1 建:1車:0,4房2廳3衛,,無,無,住商用,,虎尾鎮光復路
虎尾鎮光復路１１４號,,112/07/25,1300,15.54,83.65,,透天厝,40,全/四層,房地(土地+建物),土:1 建:1車:0,5房2廳3衛,,無,無,住商用,,虎尾鎮光復路
虎尾鎮光復路２０之１７號,,112/03/07,1500,19.83,75.64,,透天厝,14,全/四層,房地(土地+建物),土:1 建:1車:0,5房3廳3衛,,無,無,商業用,未登記建物;,虎尾鎮光復路
虎尾鎮光復路２０之７號,,113/05/19,1480,19.57,75.64,,透天厝,16,全/四層,房地(土地+建物)+車位,土:1 建:1車:1,4房3廳3衛,,無,無,商業用,,虎尾鎮光復路
虎尾鎮光復路２０６巷３１號,,113/03/29,900,27.36,32.89,,透天厝,43,全/二層,房地(土地+建物),土:1 建:1車:0,4房4廳4衛,,無,無,住商用,陽台外推;頂樓加蓋;其他增建;,虎尾鎮光復路
虎尾鎮光復路２０６巷４３之１號,,113/01/05,400,11.36,35.21,,透天厝,43,全/二層,房地(土地+建物),土:1 建:1車:0,3房1廳1衛,,無,無,住商用,,虎尾鎮光復路
虎尾鎮光復路２２０巷２０號,,111/02/25,950,13.3,71.44,,透天厝,41,全/二層,房地(土地+建物),土:2 建:2車:0,4房4廳4衛,,無,無,住商用,,虎尾鎮光復路
虎尾鎮光復路２２０巷２７號,,111/05/07,580,16.24,35.72,,透天厝,42,全/二層,房地(土地+建物),土:1 建:1車:0,4房1廳1衛,,無,無,住家用,,虎尾鎮光復路
虎尾鎮光復路２２０巷３５號,,111/11/01,200,10.77,18.57,,透天厝,42,全/二層,房地(土地+建物),土:1 建:1車:0,2房1廳1衛,,無,無,住商用,,虎尾鎮光復路
虎尾鎮光復路３０巷１號,,111/10/17,520,17.53,29.66,,透天厝,44,全/二層,房地(土地+建物),土:1 建:1車:0,1房2廳2衛,,無,無,住商用,,虎尾鎮光復路
虎尾鎮光復路３０巷３１號,,111/01/18,2150,23.73,90.59,,透天厝,1,全/四層,房地(土地+建物),土:1 建:1車:0,4房3廳5衛,,無,有,住家用,建物第一次登記後移轉,虎尾鎮光復路
虎尾鎮光復路３１５巷１６號,,112/10/25,600,26.76,22.42,,透天厝,50,全/二層,房地(土地+建物),土:4 建:1車:0,3房2廳2衛,,無,無,住家用,,虎尾鎮光復路
虎尾鎮光復路３１５巷１７號四樓,,112/02/07,320,12.26,26.11,89.77%,公寓(5樓含以下無電梯),31,四層/五層,房地(土地+建物)+車位,土:2 建:1車:1,3房1廳2衛,,無,無,住家用,,虎尾鎮光復路
虎尾鎮光復路３１５巷４號,,111/03/12,270,11.99,22.51,,透天厝,49,全/二層,房地(土地+建物),土:4 建:1車:0,3房1廳2衛,,無,無,住家用,,虎尾鎮光復路
虎尾鎮光復路４０８號,,113/01/05,2360,34.19,69.02,,透天厝,76,全/二層,房地(土地+建物),土:2 建:2車:0,5房3廳2衛,,無,無,住家用,,虎尾鎮光復路
虎尾鎮光復路４４６號五樓之５,,112/09/25,150,15.97,9.39,58.43%,套房(1房(1廳)1衛),27,五層/九層,房地(土地+建物),土:1 建:1車:0,1房1衛,,無,有,住家用,,虎尾鎮光復路
虎尾鎮光復路４８２號三樓之２,,110/12/07,510,11.79,43.24,72.65%,華廈(10層含以下有電梯),28,三層/九層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,有,住家用,,虎尾鎮光復路
虎尾鎮光復路５７１巷１８號,,111/03/30,1090.9,40.36,27.03,,透天厝,24,全/一層,房地(土地+建物),土:1 建:1車:0,,,無,無,住家用,,虎尾鎮光復路
虎尾鎮和平路１４３號,,111/01/27,1080,26.52,40.73,,透天厝,44,全/三層,房地(土地+建物),土:2 建:1車:0,3房2廳3衛,,無,無,住商用,,虎尾鎮和平路
虎尾鎮和平路１５號,,111/10/12,1900,11.15,170.37,,透天厝,36,全/四層,房地(土地+建物),土:1 建:1車:0,5房1廳5衛,,無,無,住商用,,虎尾鎮和平路
虎尾鎮和平路１７之１０號,,111/06/14,605,11.7,51.79,64.69%,華廈(10層含以下有電梯),25,"一層,二層,三層/九層",房地(土地+建物),土:1 建:1車:0,3房1廳2衛,,有,有,住商用,,虎尾鎮和平路
虎尾鎮和平路１７號七樓之五,,111/07/26,430,11.8,36.51,48.41%,華廈(10層含以下有電梯),25,七層/九層,房地(土地+建物)+車位,土:1 建:1車:1,3房2廳1衛,,有,有,住家用,,虎尾鎮和平路
